IRI,LABEL,LOCAL,TYPE,SOURCE,LINK,ALT_LABELS,SYNONYMS,COMMENT
https://orcid.org/0000-0002-3092-0532,Hossein Beygi Nasrabadi,0000-0002-3092-0532,Entity,Ontology : mwo,ontologies/mwo/,,,
http://purl.obolibrary.org/obo/STATO_0000132,Hotelling T2 distribution,STATO_0000132,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000452,Hotelling-Lawley trace,STATO_0000452,Class,Ontology : stato,ontologies/stato/,,,
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#HotTensileTest,HotTensileTest,HotTensileTest,Class,Ontology : BWMD,ontologies/BWMD/,,,
http://emmo.info/emmo#EMMO_21ef2ed6_c086_4d24_8a75_980d2bcc9282,Hour,EMMO_21ef2ed6_c086_4d24_8a75_980d2bcc9282,Class,Ontology : GPO,ontologies/GPO/,,,
http://purl.org/net/p-plan#,http://purl.org/net/p-plan#,,Individual,Ontology : P-Plan,ontologies/P-Plan/,,,PROV extension for linking Plans and parts of plans to their respective executions. Created by Daniel Garijo and Yolanda Gil
http://purl.org/net/p-plan#,http://purl.org/net/p-plan#,,Individual,Ontology : opmw,ontologies/opmw/,,,
http://purl.org/net/p-plan#,http://purl.org/net/p-plan#,,Entity,Pattern : P-Plan / requirement1 / P-Plan_STAR_none,patterns/P-Plan/requirement1/P-Plan_STAR_none/,,,
http://purl.org/net/p-plan#,http://purl.org/net/p-plan#,,Entity,Pattern : P-Plan / requirement2 / P-Plan_STAR_none,patterns/P-Plan/requirement2/P-Plan_STAR_none/,,,
http://w3id.org/nfdi4ing/metadata4ing#,http://w3id.org/nfdi4ing/metadata4ing#,,Entity,Pattern : m4i / requirement1 / m4i_STAR_none,patterns/m4i/requirement1/m4i_STAR_none/,,,
http://w3id.org/nfdi4ing/metadata4ing#,http://w3id.org/nfdi4ing/metadata4ing#,,Entity,Pattern : m4i / requirement2 / m4i_STAR_none,patterns/m4i/requirement2/m4i_STAR_none/,,,
http://w3id.org/nfdi4ing/metadata4ing#,http://w3id.org/nfdi4ing/metadata4ing#,,Entity,Pattern : m4i / requirement3 / m4i_STAR_none,patterns/m4i/requirement3/m4i_STAR_none/,,,
http://www.w3.org/ns/prov#,http://www.w3.org/ns/prov#,,Individual,Ontology : opmw,ontologies/opmw/,,,
http://www.w3.org/ns/prov-o#,http://www.w3.org/ns/prov-o#,,Individual,Ontology : opmw,ontologies/opmw/,,,
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010001,humanity,NFDI_0010001,Class,Ontology : mwo,ontologies/mwo/,,,"An academic discipline focused on human culture, thought, and creativity, encompassing disciplines like literature, philosophy, and the arts."
https://www.irit.fr/recherches/MELODI/ontologies/BBO#HumanResource,HumanResource,HumanResource,Class,Ontology : BBO,ontologies/BBO/,,,Human agents contributing to the execution of business processes.
http://purl.obolibrary.org/obo/STATO_0000426,Hunter-Schmidt estimator,STATO_0000426,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000358,Huynh-Feldt covariance structure,STATO_0000358,Class,Ontology : stato,ontologies/stato/,,,
https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001075,hybrid implementation,NFDI_0001075,Individual,Ontology : mwo,ontologies/mwo/,,,Hybrid Implementation is an event implementation specification that defines the organization of an event that integrates both physical (on-site) and virtual (online) participation modes
http://purl.obolibrary.org/obo/OBI_0400110,hybridization chamber,OBI_0400110,Class,Ontology : stato,ontologies/stato/,,,
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Hydrogen,Hydrogen,Hydrogen,Class,Ontology : BWMD,ontologies/BWMD/,,,
https://w3id.org/pmd/co/HydrogenBond,Hydrogen Bond,HydrogenBond,Class,Ontology : pmdcore,ontologies/pmdcore/,,,
http://emmo.info/emmo/domain/periodic-table#EMMO_5a4790e5-b11b-5a0c-80e4-81515c27a560,HydrogenAtom,EMMO_5a4790e5-b11b-5a0c-80e4-81515c27a560,Class,Ontology : GPO,ontologies/GPO/,,,
http://emmo.info/emmo/domain/periodic-table#EMMO_93582808-e5fc-5bb5-bc7a-0e674e1a7f0e,HydrogenSymbol,EMMO_93582808-e5fc-5bb5-bc7a-0e674e1a7f0e,Class,Ontology : GPO,ontologies/GPO/,,,
http://purl.obolibrary.org/obo/OBI_0500013,hyper graeco latin square design,OBI_0500013,Class,Ontology : stato,ontologies/stato/,,,
http://emmo.info/emmo#EMMO_f96feb3f_4438_4e43_aa44_7458c4d87fc2,HyperfineTransitionFrequencyOfCs,EMMO_f96feb3f_4438_4e43_aa44_7458c4d87fc2,Class,Ontology : GPO,ontologies/GPO/,,,
http://purl.obolibrary.org/obo/STATO_0000060,hypergeometric distribution,STATO_0000060,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000285,hypergeometric test,STATO_0000285,Class,Ontology : stato,ontologies/stato/,,,
http://emmo.info/emmo#EMMO_f87e79eb_f549_4a06_9c27_a3d1412444c6,Hyperon,EMMO_f87e79eb_f549_4a06_9c27_a3d1412444c6,Class,Ontology : GPO,ontologies/GPO/,,,
http://emmo.info/emmo#EMMO_e7cbc129_0d05_41a2_851a_10b198cd7ca2,Hypothesis,EMMO_e7cbc129_0d05_41a2_851a_10b198cd7ca2,Class,Ontology : GPO,ontologies/GPO/,,,
http://purl.obolibrary.org/obo/STATO_0000065,hypothesis,STATO_0000065,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000420,I-squared,STATO_0000420,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/IAO_0000111,IAO_0000111,IAO_0000111,AnnotationProperty,Pattern : pmdcore / requirement1 / pmdcore_STAR_none,patterns/pmdcore/requirement1/pmdcore_STAR_none/,,,
http://purl.obolibrary.org/obo/IAO_0000111,IAO_0000111,IAO_0000111,AnnotationProperty,Pattern : pmdcore / requirement2 / pmdcore_STAR_none,patterns/pmdcore/requirement2/pmdcore_STAR_none/,,,
http://purl.obolibrary.org/obo/IAO_0000111,IAO_0000111,IAO_0000111,AnnotationProperty,Pattern : pmdcore / requirement3 / pmdcore_STAR_none,patterns/pmdcore/requirement3/pmdcore_STAR_none/,,,
http://purl.obolibrary.org/obo/IAO_0000111,IAO_0000111,IAO_0000111,AnnotationProperty,Pattern : stato / requirement1 / stato_STAR_none,patterns/stato/requirement1/stato_STAR_none/,,,
http://purl.obolibrary.org/obo/IAO_0000111,IAO_0000111,IAO_0000111,AnnotationProperty,Pattern : stato / requirement2 / stato_STAR_none,patterns/stato/requirement2/stato_STAR_none/,,,
http://purl.obolibrary.org/obo/IAO_0000112,IAO_0000112,IAO_0000112,AnnotationProperty,Pattern : stato / requirement1 / stato_STAR_none,patterns/stato/requirement1/stato_STAR_none/,,,
http://purl.obolibrary.org/obo/IAO_0000112,IAO_0000112,IAO_0000112,AnnotationProperty,Pattern : stato / requirement2 / stato_STAR_none,patterns/stato/requirement2/stato_STAR_none/,,,
